rank,title,citations,downloads,article_type,top %
216,Behavior-Contextualized Item Preference Modeling for Multi-Behavior Recommendation,0,144,research-article,55.53
217,Masked Graph Transformer for Large-Scale Recommendation,0,142,short-paper,55.78
217,UniSAR: Modeling User Transition Behaviors between Search and Recommendation,1,142,research-article,55.78
217,Universal Adversarial Perturbations for Vision-Language Pre-trained Models,0,142,research-article,55.78
220,Grand: A Fast and Accurate Graph Retrieval Framework via Knowledge Distillation,0,139,research-article,56.56
221,Multi-granular Adversarial Attacks against Black-box Neural Ranking Models,1,138,research-article,56.81
221,Enhancing Dataset Search with Compact Data Snippets,0,138,research-article,56.81
223,Inferring Climate Change Stances from Multimodal Tweets,0,137,short-paper,57.33
223,C-Pack: Packed Resources For General Chinese Embeddings,3,137,research-article,57.33
223,Revisiting Document Expansion and Filtering for Effective First-Stage Retrieval,0,137,research-article,57.33
226,Flexible and Adaptable Summarization via Expertise Separation,0,136,research-article,58.1
227,Improving In-Context Learning via Sequentially Selection and Preference Alignment for Few-Shot Aspect-Based Sentiment Analysis,0,135,short-paper,58.35
227,EulerFormer: Sequential User Behavior Modeling with Complex Vector Attention,0,135,research-article,58.35
229,Axiomatic Causal Interventions for Reverse Engineering Relevance Computation in Neural Retrieval Models,0,134,research-article,58.87
229,M2-RAAP: A Multi-Modal Recipe for Advancing Adaptation-based Pre-training towards Effective and Efficient Zero-shot Video-text Retrieval,0,134,research-article,58.87
229,Unbiased Validation of Technology-Assisted Review for eDiscovery,0,134,short-paper,58.87
229,Semi-supervised Prototype Semantic Association Learning for Robust Cross-modal Retrieval,0,134,research-article,58.87
233,Using and Evaluating Quantum Computing for Information Retrieval and Recommender Systems,0,133,tutorial,59.9
234,Self-Referential Review: Exploring the Impact of Self-Reference Effect in Review,0,132,short-paper,60.15
235,Hierarchical Semantics Alignment for 3D Human Motion Retrieval,0,131,research-article,60.41
236,Explainability for Transparent Conversational Information-Seeking,1,129,research-article,60.67
236,Exploring the Individuality and Collectivity of Intents behind Interactions for Graph Collaborative Filtering,0,129,research-article,60.67
238,Information Diffusion Prediction via Cascade-Retrieved In-context Learning,0,128,short-paper,61.18
239,CIQA: A Coding Inspired Question Answering Model,0,126,research-article,61.44
239,ReNeuIR at SIGIR 2024: The Third Workshop on Reaching Efficiency in Neural Information Retrieval,0,126,short-paper,61.44
239,COMI: COrrect and MItigate Shortcut Learning Behavior in Deep Neural Networks,0,126,research-article,61.44
242,DeCoCDR: Deployable Cloud-Device Collaboration for Cross-Domain Recommendation,0,125,research-article,62.21
243,SCM4SR: Structural Causal Model-based Data Augmentation for Robust Session-based Recommendation,0,124,short-paper,62.47
243,The Impact of Group Membership Bias on the Quality and Fairness of Exposure in Ranking,0,124,research-article,62.47
243,A Reproducibility Study of PLAID,0,124,research-article,62.47
246,Treatment Effect Estimation for User Interest Exploration on Recommender Systems,0,122,research-article,63.24
247,AgentIR: 1st Workshop on Agent-based Information Retrieval,0,121,short-paper,63.5
248,NFARec: A Negative Feedback-Aware Recommender Model,0,120,research-article,63.75
248,Negative as Positive: Enhancing Out-of-distribution Generalization for Graph Contrastive Learning,0,120,short-paper,63.75
248,Adaptive Fair Representation Learning for Personalized Fairness in Recommendations via Information Alignment,0,120,research-article,63.75
248,PLAID SHIRTTT for Large-Scale Streaming Dense Retrieval,0,120,short-paper,63.75
252,TextData: Save What You Know and Find What You Don't,0,119,short-paper,64.78
252,CaseLink: Inductive Graph Learning for Legal Case Retrieval,0,119,research-article,64.78
252,Explicitly Integrating Judgment Prediction with Legal Document Retrieval: A Law-Guided Generative Approach,0,119,research-article,64.78
255,USimAgent: Large Language Models for Simulating Search Users,0,118,short-paper,65.55
255,Enhanced Packed Marker with Entity Information for Aspect Sentiment Triplet Extraction,0,118,research-article,65.55
257,Distillation for Multilingual Information Retrieval,0,117,short-paper,66.07
257,Untargeted Adversarial Attack on Knowledge Graph Embeddings,0,117,research-article,66.07
259,Intent Distribution based Bipartite Graph Representation Learning,0,116,research-article,66.58
259,Label Hierarchical Structure-Aware Multi-Label Few-Shot Intent Detection via Prompt Tuning,0,116,short-paper,66.58
259,Lightweight Embeddings for Graph Collaborative Filtering,0,116,research-article,66.58
262,Unmasking Privacy: A Reproduction and Evaluation Study of Obfuscation-based Perturbation Techniques for Collaborative Filtering,0,115,research-article,67.35
262,Efficient Community Search Based on Relaxed k-Truss Index,0,115,research-article,67.35
264,MealRec+: A Meal Recommendation Dataset with Meal-Course Affiliation for Personalization and Healthiness,0,113,research-article,67.87
265,SM-RS: Single- and Multi-Objective Recommendations with Contextual Impressions and Beyond-Accuracy Propensity Scores,0,112,research-article,68.12
265,Turbo-CF: Matrix Decomposition-Free Graph Filtering for Fast Recommendation,0,112,short-paper,68.12
